text;label
Hari ini cuaca sangat cerah;0
Saya suka bermain sepak bola dengan teman-teman;0
Buku ini sangat menarik untuk dibaca;0
Kucing itu sangat lucu dan menggemaskan;0
Aku akan pergi ke taman besok pagi;0
Dia adalah teman yang sangat baik;0
Kami berencana untuk menonton film bersama;0
Pemandangan gunung ini sungguh menakjubkan;0
Saya akan memasak makanan favorit saya malam ini;0
Perpustakaan ini memiliki banyak buku bagus;0
Anjing peliharaan kami sangat pintar;0
Saya senang belajar hal baru setiap hari;0
Kue yang dia buat sangat enak;0
Matahari terbenam tadi malam sangat indah;0
Dia selalu membantu orang lain dengan tulus;0
Kami menghabiskan waktu di pantai selama liburan;0
Saya suka mendengarkan musik klasik saat bekerja;0
Tempat ini sangat nyaman untuk bersantai;0
Dia memenangkan lomba dengan usaha keras;0
Saya akan mengunjungi kakek dan nenek akhir pekan ini;0
Kamu ini benar-benar menyebalkan;1
Dasar bodoh, tidak pernah mendengarkan!;1
Dia itu orang yang sangat pemalas;1
Kamu nggak berguna sama sekali;1
Apa sih yang kamu lakukan, idiot?;1
Jangan ganggu aku, kamu cuma bikin masalah;1
Orang itu benar-benar brengsek;1
Dia selalu ngomong tanpa mikir;1
Kamu nggak punya otak atau apa?;1
Kamu hanya memikirkan diri sendiri, dasar egois;1
Sikapmu benar-benar bikin orang marah;1
Kamu pengecut, nggak berani ambil risiko;1
Dia ngomong kasar setiap kali marah;1
Berhenti sok tahu dan diamlah;1
Kamu ini nggak pernah bisa diandalkan;1
Bilang saja kalau kamu mau tidur dengan dia, dasar mesum;2
Foto bugil yang kamu kirim benar-benar menjijikkan;2
Jangan kirim gambar cabul seperti itu di grup!;2
Apa kamu memang suka nonton film porno sepanjang waktu?;2
Orang cabul seperti kamu hanya bisa mikirin seks terus;2
Bocah itu terlalu muda untuk lihat konten bokep;2
Jangan kirim konten mesum di tempat kerja!;2
Dia terang-terangan menyentuh orang lain tanpa izin, dasar cabul!;2
Konten seksual yang kamu kirim benar-benar bikin mual;2
Kata-kata mesummu itu tidak pantas didengar siapapun;2
Si brengsek itu malah ngirimin video porno ke grup;2
Pesan itu jelas-jelas cabul dan tidak sopan;2
Dia cabul banget, nggak bisa berhenti ngomongin seks;2
Sebaiknya kamu simpan fantasi kotormu untuk dirimu sendiri;2
Orang itu cabul parah, dia terang-terangan ngomongin hal vulgar;2
"Mau banget gue main sama lo.";2
"Asli, lo kayak cewek murahan banget.";2
"Pengen ngelihat lo tanpa baju.";2
"Lo pasti udah sering tidur sama orang.";2
"Kamu doyan banget main sama cowok.";2
"Jangan sok polos, tahu lo udah nakal.";2
"Badan lo bikin gue gila banget.";2
"Jujur, lo pengen disentuh kan?";2
"Ayo dong buka semuanya, jangan malu-malu.";2
"Gue yakin lo sering main belakang.";2
"Kenapa gak lo aja yang telanjang?";2
"Gue mau lo sekarang, jangan nolak.";2
"Cuma modal tampang udah bisa dapet cowok.";2
"Cewek kayak lo gampang diajak tidur.";2
"Kelihatan banget lo doyan hal yang begituan.";2
"Pasti lo udah sering disentuh banyak orang.";2
"Lo suka kan kalo disentuh gitu?";2
"Gue yakin lo udah gak perawan lagi.";2
"Doyan banget lo dipeluk sama cowok.";2
"Udah sering banget lo diajak tidur pasti.";2
"Jomok banget lo, bener-bener parah.";2
"Lo keliatan jomok, gak tahan ya?";2
"Badan lo jomok, pasti enak banget.";2
"Dasar jomok, sukanya hal-hal kayak gitu.";2
"Lo jomok parah, pasti sering begituan.";2
"Keliatan banget lo jomok dari tampang lo.";2
"Jomok lo, suka banget disentuh cowok ya?";2
"Lo jomok banget, cuma modal bodi doang.";2
"Jomok kayak lo gampang banget dipake.";2
"Lo pasti udah jomok dari dulu, keliatan.";2
