"text;label"
"""mukamu kek babi"";1"
"""ey! Kamu babi!"";1"
"""Gw lagi ngasih makan babi di pertenakan."";0"
"""Duh temen lo kek babi"";1"
"""B4b1K LO ASU"";2"
"""Babi itu berwarna pink."";0"
"""Ngapain ada kawanan babi di tempat itu?"";0"
"""duhh punya temen kek babi g guna anjing!!!!!!"";2"
"""woi lah lu main kek babi!"";1"
"""Dih babi lu!!"";1"
"""Oi babi bawain barang gue nih!"";1"
"""lah ngapain babi datang ke pesta gua!"";1"
"""lah lu kan merasa lu babik ngapain tanya lagi?"";1"
"""WOI ANAK BABI KIMAK LU NGANCURIN FIGUR GW ANJING KONTOLODON!"";2"
"""Kau ini memang babi, tidak ada yang bisa diharapkan darimu."";1"
"""Dia bertindak seperti babi yang tidak tahu aturan."";1"
"""Babi! Kau selalu datang terlambat."";1"
"""Pengelolaan peternakan babi yang berkelanjutan menjadi lebih penting dalam era modern."";0"
"""Jangan bersikap seperti babi, semua orang jadi risih."";1"
"""Kamu ini babi sekali, tidak pernah menjaga kebersihan."";1"
"""Orang seperti kamu tidak pantas ada di sini, seperti babi di taman."";1"
"""Babi, kenapa kamu selalu mengganggu orang lain?"";1"
"""Kau hanya tahu makan seperti babi."";1"
"""Pikirkan sekali lagi, jangan jadi babi yang egois."";1"
"""Berhenti berbohong, babi! Semua orang tahu kebenarannya."";1"
"""Kamu ini memang babi yang tak pernah mau mendengarkan."";1"
"""Babi! Kamu merusak semua rencana."";1"
"""Kamu tidak lebih dari sekadar babi yang tidak peka."";1"
"""Berhenti berkelakuan seperti babi di depan umum."";1"
"""Kau babi yang sangat tidak beretika."";1"
"""Dia berbicara seolah-olah dia bukan babi."";1"
"""Babi! Tingkahmu sangat menjengkelkan."";1"
"""Kamu hanya tahu berbicara kasar, babi!"";1"
"""Aku muak dengan sikap babi kamu itu."";1"
"""Kau babi yang tidak pernah berusaha."";1"
"""Berhenti berlagak seperti babi yang berkuasa."";1"
"""Dia suka menjelek-jelekkan orang lain, seperti babi."";1"
"""Kamu ini babi yang tidak punya rasa malu."";1"
"""Berhenti bersikap seperti babi yang tak berpendidikan."";1"
"""Babi! Kamu selalu membuat masalah."";1"
"""Kau merusak semuanya, babi!"";1"
"""Tinggalkan kebiasaan babimu itu!"";1"
"""Kamu memang babi yang tidak bisa berubah."";1"
